05-24 10:52:> dabolinkbot has joined the channel
05-24 10:53:> dabolink has joined the channel
05-24 10:53:> dabolinkbot has joined the channel
05-25 21:41:> dabolink has joined the channel
05-25 21:41:> dabolinkbot has joined the channel
05-25 22:23:> dabolink has joined the channel
05-25 22:23:> dabolinkbot has joined the channel
05-25 22:25:> dabolink has joined the channel
05-25 22:25:> dabolinkbot has joined the channel
05-25 22:38:> dabolinkbot has joined the channel
05-25 23:20:> dabolink has joined the channel
05-25 23:20:> dabolinkbot has joined the channel
05-25 23:25:> dabolink has joined the channel
05-25 23:25:> dabolinkbot has joined the channel
05-25 23:26:> dabolink has joined the channel
05-25 23:26:> dabolinkbot has joined the channel
05-25 23:31:> dabolink has joined the channel
05-25 23:31:> dabolinkbot has joined the channel
07-09 20:20 :> dabolinkbot has joined the channel
07-10 12:36 :> dabolinkbot has joined the channel
07-10 12:38 :> dabolink has joined the channel
07-10 12:38 :> dabolinkbot has joined the channel
07-10 12:39 :> dabolink has joined the channel
07-10 12:39 :> dabolinkbot has joined the channel
07-10 12:41 :> dabolink has joined the channel
07-10 12:41 :> dabolinkbot has joined the channel
07-10 13:00 :> dabolink has joined the channel
07-10 13:00 :> dabolinkbot has joined the channel
07-10 13:01 :> dabolink has joined the channel
07-10 13:01 :> dabolinkbot has joined the channel
07-10 13:01 :> dabolink has joined the channel
07-10 13:01 :> dabolinkbot has joined the channel
07-10 13:01 :> got userstats for dabolink : (u'dabolink', 0.45916138888888897, 0.0, 14)
07-10 13:02 :> dabolink has joined the channel
07-10 13:02 :> dabolinkbot has joined the channel
07-10 13:02 :> dabolink has joined the channel
07-10 13:02 :> dabolinkbot has joined the channel
07-10 13:03 :> dabolink has joined the channel
07-10 13:03 :> dabolinkbot has joined the channel
07-10 13:05 :> dabolink has joined the channel
07-10 13:05 :> dabolinkbot has joined the channel
07-13 13:44 :> dabolinkbot has joined the channel
07-13 13:45 :> dabolinkbot has joined the channel
07-13 16:40 :> dabolinkbot has joined the channel
07-13 16:42 :> dabolinkbot has joined the channel
07-13 16:57 :> dabolink has joined the channel
07-13 16:57 :> dabolinkbot has joined the channel
07-13 16:58 :> dabolink has joined the channel
07-13 16:58 :> dabolinkbot has joined the channel
07-13 17:00 :> dabolink has joined the channel
07-13 17:00 :> dabolinkbot has joined the channel
07-13 17:01 :> dabolink has joined the channel
07-13 17:01 :> dabolinkbot has joined the channel
07-13 17:03 :> dabolink has joined the channel
07-13 17:03 :> dabolinkbot has joined the channel
07-13 17:07 :> dabolink has joined the channel
07-13 17:07 :> dabolinkbot has joined the channel
07-13 17:07 :> got userstats for dabolink : (u'dabolink', 0.48122527777777785, 0.0, 14)
07-13 18:25 :> dabolink has joined the channel
07-13 18:25 :> dabolinkbot has joined the channel
07-13 18:36 :> dabolink has joined the channel
07-13 18:36 :> dabolinkbot has joined the channel
07-13 19:48 :> dabolink has joined the channel
07-13 19:48 :> dabolinkbot has joined the channel
07-13 19:51 :> dabolink has joined the channel
07-13 19:51 :> dabolinkbot has joined the channel
07-13 19:54 :> dabolink has joined the channel
07-13 19:54 :> dabolinkbot has joined the channel
07-13 19:55 :> dabolink has joined the channel
07-13 19:55 :> dabolinkbot has joined the channel
07-13 19:56 :> dabolink has joined the channel
07-13 19:56 :> dabolinkbot has joined the channel
07-13 20:01 :> dabolink has joined the channel
07-13 20:01 :> dabolinkbot has joined the channel
07-13 20:58 :> dabolinkbot has joined the channel
07-13 20:59 :> dabolinkbot has joined the channel
07-13 21:00 :> dabolinkbot has joined the channel
07-13 21:01 :> dabolinkbot has joined the channel
07-13 21:02 :> dabolinkbot has joined the channel
07-13 21:05 :> dabolink has joined the channel
07-13 21:05 :> dabolinkbot has joined the channel
07-13 21:05 :> dabolink has joined the channel
07-13 21:05 :> dabolinkbot has joined the channel
07-13 21:10 :> dabolink has joined the channel
07-13 21:10 :> dabolinkbot has joined the channel
07-13 21:11 :> dabolink has joined the channel
07-13 21:11 :> dabolinkbot has joined the channel
07-13 21:11 :> dabolink has joined the channel
07-13 21:11 :> dabolinkbot has joined the channel
07-13 21:12 :> dabolink has joined the channel
07-13 21:12 :> dabolinkbot has joined the channel
07-13 21:12 :> dabolink has joined the channel
07-13 21:12 :> dabolinkbot has joined the channel
07-13 21:13 :> dabolink has joined the channel
07-13 21:13 :> dabolinkbot has joined the channel
07-13 21:13 :> dabolink has joined the channel
07-13 21:13 :> dabolinkbot has joined the channel
07-13 21:14 :> dabolink has joined the channel
07-13 21:14 :> dabolinkbot has joined the channel
07-13 21:15 :> dabolink has joined the channel
07-13 21:15 :> dabolinkbot has joined the channel
07-13 21:16 :> dabolink has joined the channel
07-13 21:16 :> dabolinkbot has joined the channel
07-13 21:21 :> dabolink has joined the channel
07-13 21:21 :> dabolinkbot has joined the channel
07-13 21:24 :> dabolink has joined the channel
07-13 21:24 :> dabolinkbot has joined the channel
07-13 21:24 :> dabolink has joined the channel
07-13 21:24 :> dabolinkbot has joined the channel
07-13 21:33 :> dabolink has joined the channel
07-13 21:33 :> dabolinkbot has joined the channel
07-13 21:35 :> dabolink has joined the channel
07-13 21:35 :> dabolinkbot has joined the channel
07-13 21:36 :> dabolink has joined the channel
07-13 21:36 :> dabolinkbot has joined the channel
07-13 21:36 :> dabolink has joined the channel
07-13 21:36 :> dabolinkbot has joined the channel
07-13 21:38 :> dabolink has joined the channel
07-13 21:38 :> dabolinkbot has joined the channel
07-13 21:38 :> added kkkradical to database
07-13 21:38 :> got userstats for dabolink : (u'dabolink', 0.605236388888889, 0.0, 14)
07-13 21:39 :> got userstats for kkkradical : (u'kkkradical', 0.017035277777777778, 0.0, 1)
07-13 21:39 :> dabolink has joined the channel
07-13 21:39 :> dabolinkbot has joined the channel
07-13 21:39 :> kkkradical has joined the channel
07-13 21:39 :> got userstats for kkkradical : (u'kkkradical', 0.01806111111111111, 0.0, 1)
07-13 21:40 :> dabolink has joined the channel
07-13 21:40 :> dabolinkbot has joined the channel
07-13 21:40 :> kkkradical has joined the channel
07-14 12:31 :> dabolinkbot has joined the channel
07-14 12:32 :> dabolinkbot has joined the channel
07-14 12:34 :> dabolinkbot has joined the channel
07-15 15:02 :> dabolinkbot has joined the channel
07-15 15:04 :> dabolink has joined the channel
07-15 15:04 :> dabolinkbot has joined the channel
07-15 15:04 :> got userstats for dabolink : (u'dabolink', 0.6067919444444445, 0.0, 14)
07-15 15:04 :> got userstats for dabolink : (u'dabolink', 0.6083416666666668, 0.0, 14)
07-15 15:05 :> dabolink has joined the channel
07-15 15:05 :> dabolinkbot has joined the channel
07-15 15:05 :> got userstats for dabolink : (u'dabolink', 0.630063888888889, 0.0, 14)
07-15 15:06 :> top users requested
07-15 15:06 :> got userstats for dabolinkbot : (u'dabolinkbot', 0.9204991666666664, 0.0, 95)
07-15 20:09 :> dabolinkbot has joined the channel
07-15 20:09 :> dabolink has joined the channel
07-15 20:11 :> dabolink has joined the channel
07-15 20:11 :> dabolinkbot has joined the channel
07-15 20:13 :> dabolink has joined the channel
07-15 20:13 :> dabolinkbot has joined the channel
